a,b,c,d,e,w
0.788675135,0.5,0.5,0.5,0.788675135,-1
0.788675135,0.5,0.5,0.5,0.887298335,0.138888889
0.788675135,0.5,0.5,0.788675135,0.211324865,0.125
0.788675135,0.5,0.5,0.788675135,0.5,-1
0.788675135,0.5,0.5,0.788675135,0.788675135,0.125
0.788675135,0.5,0.5,0.887298335,0.5,0.138888889
0.788675135,0.5,0.788675135,0.211324865,0.5,0.125
0.788675135,0.5,0.788675135,0.5,0.211324865,0.125
0.788675135,0.5,0.788675135,0.5,0.5,-1
0.788675135,0.5,0.788675135,0.5,0.788675135,0.125
0.788675135,0.5,0.788675135,0.788675135,0.5,0.125
0.788675135,0.5,0.887298335,0.5,0.5,0.138888889
0.788675135,0.788675135,0.211324865,0.5,0.5,0.125
0.788675135,0.788675135,0.5,0.211324865,0.5,0.125
0.788675135,0.788675135,0.5,0.5,0.211324865,0.125
0.788675135,0.788675135,0.5,0.5,0.5,-1
0.788675135,0.788675135,0.5,0.5,0.788675135,0.125
0.788675135,0.788675135,0.5,0.788675135,0.5,0.125
0.788675135,0.788675135,0.788675135,0.5,0.5,0.125
0.788675135,0.887298335,0.5,0.5,0.5,0.138888889
0.887298335,0.211324865,0.5,0.5,0.5,0.138888889
0.887298335,0.5,0.211324865,0.5,0.5,0.138888889
0.887298335,0.5,0.5,0.211324865,0.5,0.138888889
0.887298335,0.5,0.5,0.5,0.211324865,0.138888889
0.887298335,0.5,0.5,0.5,0.5,-1.111111111
0.887298335,0.5,0.5,0.5,0.788675135,0.138888889
0.887298335,0.5,0.5,0.788675135,0.5,0.138888889
0.887298335,0.5,0.788675135,0.5,0.5,0.138888889
0.887298335,0.788675135,0.5,0.5,0.5,0.138888889
0.930568156,0.5,0.5,0.5,0.5,0.173927423
