alph1,alph2,alph3,bp,bf,gamma1,gamma2,lambda1,lambda2,valor_opt,Metodo,AIC,Indice Verosimilitud,nest_est,nest1,nest2,nest3,nest4,alph1_0,alph2_0,alph3_0,bp_0,bf_0,gamma1_0,gamma2_0,alph1_SE,alph2_SE,alph3_SE,bp_SE,bf_SE,gamma1_SE,gamma2_SE,ee_lambda1,ee_lambda2
1.3408723524407986,0.5919047766664984,-2.9486255600382476,-36.003895004183214,0.484075193091412,2.83742135478337,,0.9446648226482881,1.0,-2658.456424022215,L-BFGS-B,5328.91284804443,0.1798730303193361,"(3,1)",1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.1344817583659662,0.12414822745368441,0.33082232518752697,3.329935645719849,0.11672667181541457,2.293864370071483,,0.11990762066531897,
1.3874794059979163,0.6433117293525538,-3.085544353411188,-37.060989025632246,0.48723844241285225,7.973995511612747,,0.9996558179250373,1.0,-2658.5626270980865,L-BFGS-B,5329.125254196173,0.19937720272853054,"(3,1)",2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.08825654711029422,0.054527988704968826,0.1452457598745502,2.399991277978778,0.11991322145060788,12.976870936236976,,0.0044648691083466205,
1.381644892434002,0.8394404609551345,-1.6583127200622074,-26.579238206988112,0.3744620326642121,0.5898926286451494,,0.6433405093405988,1.0,-2653.7646001156218,L-BFGS-B,5319.5292002312435,0.23595852120662153,"(3,1)",1,1,1,2,1.38,0.83,-1.65,-26.58,0.37,0.59,,0.07204809696904134,0.07529550361674377,0.4338206884264262,3.8833786954233105,0.09984012421666615,0.43914749951377424,,0.10076393006913334,
1.3878527044989901,0.6435138308833449,-3.086223706386874,-37.05861621706399,0.4872236116206816,12.882590387170247,,0.9999974580852672,1.0,-2658.5567264502824,L-BFGS-B,5329.113452900565,0.2887929096859867,"(3,1)",1,1,2,1,1.38,0.83,-1.65,-26.58,0.37,0.59,,0.08805325784048541,0.05448183302684016,0.1449173274576637,2.399564108361357,0.11992276092846346,196.49396351071826,,0.0004994696311532489,
1.3406374957341913,0.5917602715992452,-2.94831413311466,-35.99815699692317,0.4840842672032168,2.8357240802243875,,0.9445760336941178,1.0,-2658.45642623042,L-BFGS-B,5328.91285246084,0.17987302963811036,"(3,1)",1,2,1,1,1.38,0.83,-1.65,-26.58,0.37,0.59,,0.13471173013971066,0.12445056611220749,0.33165285754934737,3.3348256815811412,0.11672181246640786,2.29737684246876,,0.1202726176718116,
1.3877540843292036,0.6435088012499749,-3.0861197502392423,-37.05810318218443,0.4873921834410261,12.619651447069964,,0.9999966936138198,1.0,-2658.556754412224,L-BFGS-B,5329.113508824448,0.19937897128050464,"(3,1)",2,1,1,1,1.38,0.83,-1.65,-26.58,0.37,0.59,,0.08805158904999079,0.05448099485821632,0.1449147055995141,2.399470807343779,0.11992128457239386,132.59067981617363,,0.00043839454186461735,
1.3816678862703506,0.8394222820344355,-1.6584970023223007,-26.581054068865306,0.37446726445278944,0.5900796137178583,,0.6433834125696367,1.0,-2653.7645999848874,Nelder-Mead,5319.529199969775,0.2359585212442611,"(3,1)",1,1,1,2,1.38,0.83,-1.65,-26.58,0.37,0.59,,0.07205070611610512,0.07529819039373892,0.4338443818342733,3.8835700496081675,0.09984277217679058,0.4391972306353259,,0.1007699383160039,
1.387753662693786,0.6435050003447413,-3.086115378735547,-37.05793407606083,0.48741382398713,28.84429680437289,,0.9999999999997028,1.0,-2658.5566975051333,Nelder-Mead,5329.113395010267,0.28879291742928404,"(3,1)",1,1,2,1,1.38,0.83,-1.65,-26.58,0.37,0.59,,0.08804946440973054,0.05448054774783558,0.1449110237501094,2.399461622753187,0.11992117971719192,516234.41220028134,,1.5343626377445424e-07,
1.340857140382977,0.5918947343787871,-2.948581833281362,-36.00380221531044,0.48400950523192326,2.8371693745677717,,0.9446516493612621,1.0,-2658.4564238422104,Nelder-Mead,5328.912847684421,0.17987303037486702,"(3,1)",1,2,1,1,1.38,0.83,-1.65,-26.58,0.37,0.59,,0.1344849700040079,0.12415186844228723,0.3308330836222398,3.3300571923448334,0.11672543228120871,2.293454674790479,,0.11991307291249605,
1.3861046116776474,0.859023712123013,-1.5784383781928595,-25.929522290925433,0.37017267913608676,0.5256735291107211,,0.6284734672877493,1.0,-2653.8059005003997,Powell,5319.6118010007995,0.23594663047333686,"(3,1)",1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,,0.07136709874864812,0.07590551499344553,0.4399781271682183,3.932091640346745,0.09943463695940215,0.4385017953780083,,0.10238778736805622,
